"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Exchange valid dummy code for a token — expect 200 and valid token.","5","test_oauth_callback_success","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthLogin","test_oauth","",""
"Access /auth/me without token — expect 401.","2","test_get_me_no_auth","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestUnauthorized","test_negative","",""
"Try to delete another user — expect 403 or 404.","3","test_delete_other_user_forbidden","tests","Tue Sep 08 04:52:23 UTC 2026","passed","Tue Sep 08 04:52:23 UTC 2026","TestDeleteUser","test_users","",""
"Login with empty strings — expect 401 or 422.","4","test_login_empty_credentials","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestAuthNegative","test_negative","",""
"List all users — expect 200 and a list.","8","test_list_users","tests","Tue Sep 08 04:52:20 UTC 2026","passed","Tue Sep 08 04:52:20 UTC 2026","TestListUsers","test_users","",""
"Create product without name — expect 422.","4","test_create_product_missing_name","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestProductsNegative","test_negative","",""
"Create product without token — expect 401.","2","test_create_product_no_auth","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestUnauthorized","test_negative","",""
"","265","test_register","tests","Tue Sep 08 04:52:13 UTC 2026","passed","Tue Sep 08 04:52:13 UTC 2026","TestRegister","test_auth","",""
"Delete your own product — expect 204, then verify it's gone.","8","test_delete_own_product","tests","Tue Sep 08 04:52:20 UTC 2026","passed","Tue Sep 08 04:52:20 UTC 2026","TestDeleteProduct","test_products","",""
"List users using API key — expect 200.","7","test_list_users_with_api_key","tests","Tue Sep 08 04:52:12 UTC 2026","passed","Tue Sep 08 04:52:12 UTC 2026","TestApiKeyAuth","test_api_key","",""
"Get a product that doesn't exist — expect 404.","4","test_get_product_not_found","tests","Tue Sep 08 04:52:18 UTC 2026","passed","Tue Sep 08 04:52:18 UTC 2026","TestGetProduct","test_products","",""
"Update your own product — expect 200 and updated values.","8","test_update_own_product","tests","Tue Sep 08 04:52:19 UTC 2026","passed","Tue Sep 08 04:52:19 UTC 2026","TestUpdateProduct","test_products","",""
"Get a product by ID — expect 200 and valid product object.","7","test_get_product_by_id","tests","Tue Sep 08 04:52:18 UTC 2026","passed","Tue Sep 08 04:52:18 UTC 2026","TestGetProduct","test_products","",""
"","2","test_healthcheck","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","","test_health","",""
"Register with missing fields — expect 422.","2","test_register_missing_fields","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestAuthNegative","test_negative","",""
"Register with an already-taken email — expect 400.","3","test_duplicate_email","tests","Tue Sep 08 04:52:14 UTC 2026","passed","Tue Sep 08 04:52:14 UTC 2026","TestRegister","test_auth","",""
"Use a fake API key — expect 401.","3","test_invalid_api_key","tests","Tue Sep 08 04:52:13 UTC 2026","passed","Tue Sep 08 04:52:13 UTC 2026","TestApiKeyAuth","test_api_key","",""
"Try to update another user's account — expect 403 or 404.","4","test_update_other_user_forbidden","tests","Tue Sep 08 04:52:22 UTC 2026","passed","Tue Sep 08 04:52:22 UTC 2026","TestUpdateUser","test_users","",""
"Login with a user that doesn't exist — expect 401.","4","test_login_nonexistent_user","tests","Tue Sep 08 04:52:15 UTC 2026","passed","Tue Sep 08 04:52:15 UTC 2026","TestLogin","test_auth","",""
"GET /auth/oauth/login — expect 200 and an authorization URL.","3","test_get_oauth_login_url","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthLogin","test_oauth","",""
"Create a new product — expect 201 and valid product object.","8","test_create_product","tests","Tue Sep 08 04:52:17 UTC 2026","passed","Tue Sep 08 04:52:17 UTC 2026","TestCreateProduct","test_products","",""
"Delete user without token — expect 401.","2","test_delete_user_no_auth","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestUnauthorized","test_negative","",""
"OAuth-authenticated client can access /auth/me — expect 200.","5","test_oauth_user_can_access_me","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestOAuthAccess","test_oauth","",""
"Create product without price — expect 422.","3","test_create_product_missing_price","tests","Tue Sep 08 04:52:16 UTC 2026","passed","Tue Sep 08 04:52:16 UTC 2026","TestProductsNegative","test_negative","",""
"List users without token — expect 401.","3","test_list_users_no_auth","tests","Tue Sep 08 04:52:20 UTC 2026","passed","Tue Sep 08 04:52:20 UTC 2026","TestListUsers","test_users","",""
"List all products — expect 200 and a list.","8","test_list_products","tests","Tue Sep 08 04:52:17 UTC 2026","passed","Tue Sep 08 04:52:17 UTC 2026","TestListProducts","test_products","",""
"Create product without token — expect 401.","3","test_create_product_no_auth","tests","Tue Sep 08 04:52:17 UTC 2026","passed","Tue Sep 08 04:52:17 UTC 2026","TestCreateProduct","test_products","",""
"Create a product using API key — expect 201.","11","test_create_product_with_api_key","tests","Tue Sep 08 04:52:13 UTC 2026","passed","Tue Sep 08 04:52:13 UTC 2026","TestApiKeyAuth","test_api_key","",""
